+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|mm_interconnect_1|mm_clock_crossing_bridge_0_s0_to_dma_0_write_master_rsp_width_adapter                                                                                                                                                                                                                                                      ; 152   ; 3              ; 0            ; 3              ; 183    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|mm_clock_crossing_bridge_0_s0_to_dma_0_read_master_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                          ; 58    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|mm_clock_crossing_bridge_0_s0_to_dma_0_read_master_rsp_width_adapter                                                                                                                                                                                                                                                       ; 152   ; 3              ; 0            ; 3              ; 183    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|onchip_memory2_1_s1_to_memorydma_m_write_rsp_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                                 ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|onchip_memory2_1_s1_to_memorydma_m_write_rsp_width_adapter                                                                                                                                                                                                                                                                 ; 188   ; 3              ; 0            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|pio_led_s1_to_hps_0_h2f_axi_master_rd_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                       ; 58    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|pio_led_s1_to_hps_0_h2f_axi_master_rd_rsp_width_adapter                                                                                                                                                                                                                                                                    ; 152   ; 3              ; 0            ; 3              ; 183    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|pio_led_s1_to_hps_0_h2f_axi_master_wr_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                       ; 58    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|pio_led_s1_to_hps_0_h2f_axi_master_wr_rsp_width_adapter                                                                                                                                                                                                                                                                    ; 152   ; 3              ; 0            ; 3              ; 183    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|onchip_memory2_0_s1_to_fpga_only_master_master_rsp_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                           ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|onchip_memory2_0_s1_to_fpga_only_master_master_rsp_width_adapter                                                                                                                                                                                                                                                           ; 188   ; 3              ; 0            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|memorydma_m_write_to_onchip_memory2_1_s1_cmd_width_adapter|uncompressor                                                                                                                                                                                                                                                    ; 58    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|memorydma_m_write_to_onchip_memory2_1_s1_cmd_width_adapter                                                                                                                                                                                                                                                                 ; 152   ; 4              ; 0            ; 4              ; 183    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|dma_0_write_master_to_mm_clock_crossing_bridge_0_s0_cmd_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                      ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|dma_0_write_master_to_mm_clock_crossing_bridge_0_s0_cmd_width_adapter                                                                                                                                                                                                                                                      ; 188   ; 3              ; 3            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|dma_0_read_master_to_mm_clock_crossing_bridge_0_s0_cmd_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                       ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|dma_0_read_master_to_mm_clock_crossing_bridge_0_s0_cmd_width_adapter                                                                                                                                                                                                                                                       ; 188   ; 3              ; 3            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|fpga_only_master_master_to_onchip_memory2_0_s1_cmd_width_adapter|uncompressor                                                                                                                                                                                                                                              ; 58    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|fpga_only_master_master_to_onchip_memory2_0_s1_cmd_width_adapter                                                                                                                                                                                                                                                           ; 152   ; 4              ; 0            ; 4              ; 183    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|hps_0_h2f_axi_master_rd_to_pio_led_s1_cmd_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                                    ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|hps_0_h2f_axi_master_rd_to_pio_led_s1_cmd_width_adapter                                                                                                                                                                                                                                                                    ; 188   ; 3              ; 3            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|hps_0_h2f_axi_master_wr_to_pio_led_s1_cmd_width_adapter|check_and_align_address_to_size                                                                                                                                                                                                                                    ; 46    ; 9              ; 2            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|hps_0_h2f_axi_master_wr_to_pio_led_s1_cmd_width_adapter                                                                                                                                                                                                                                                                    ; 188   ; 3              ; 3            ; 3              ; 147    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|rsp_mux_007|arb|adder                                                                                                                                                                                                                                                                                                      ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|rsp_mux_007|arb                                                                                                                                                                                                                                                                                                            ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_1|rsp_mux_007                                                                                                                                                                                                                                                                                                                ; 295   ; 0              ; 0            ; 0              ; 148    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
